name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine
maruti swift dzire vdi,2014,450000,145500,diesel,individual,manual,first owner,23.4,1248.0
skoda rapid 1.5 tdi ambition,2014,370000,120000,diesel,individual,manual,second owner,21.14,1498.0
honda city 2017-2020 exi,2006,158000,140000,petrol,individual,manual,third owner,17.7,1497.0
hyundai i20 sportz diesel,2010,225000,127000,diesel,individual,manual,first owner,23.0,1396.0
maruti swift vxi bsiii,2007,130000,120000,petrol,individual,manual,first owner,16.1,1298.0
hyundai xcent 1.2 vtvt e plus,2017,440000,45000,petrol,individual,manual,first owner,20.14,1197.0
maruti wagon r lxi duo bsiii,2007,96000,175000,lpg,individual,manual,first owner,17.3,1061.0
maruti 800 dx bsii,2001,45000,5000,petrol,individual,manual,second owner,16.1,796.0
toyota etios vxd,2011,350000,90000,diesel,individual,manual,first owner,23.59,1364.0
ford figo diesel celebration edition,2013,200000,169000,diesel,individual,manual,first owner,20.0,1399.0
renault duster 110ps diesel rxl,2014,500000,68000,diesel,individual,manual,second owner,19.01,1461.0
maruti zen lx,2005,92000,100000,petrol,individual,manual,second owner,17.3,993.0
maruti swift dzire vdi,2009,280000,140000,diesel,individual,manual,second owner,19.3,1248.0
maruti swift 1.3 vxi,2007,200000,80000,petrol,individual,manual,second owner,19.462816502829906,1430.789693178433
maruti wagon r lxi minor,2009,180000,90000,petrol,individual,manual,second owner,18.9,1061.0
mahindra kuv 100 mfalcon g80 k8 5str,2016,400000,40000,petrol,individual,manual,first owner,18.15,1198.0
maruti ertiga shvs vdi,2016,778000,70000,diesel,individual,manual,second owner,24.52,1248.0
hyundai i20 1.4 crdi asta,2012,500000,53000,diesel,individual,manual,second owner,23.0,1396.0
maruti alto lx,2002,150000,80000,petrol,individual,manual,second owner,19.7,796.0
hyundai i20 2015-2017 asta 1.4 crdi,2016,680000,100000,diesel,individual,manual,first owner,22.54,1396.0
mahindra verito 1.5 d4 bsiii,2011,174000,100000,diesel,individual,manual,second owner,21.0,1461.0
honda wr-v i-dtec vx,2017,950000,50000,diesel,individual,manual,first owner,25.5,1498.0
maruti swift dzire zdi,2015,525000,40000,diesel,individual,manual,first owner,26.59,1248.0
maruti sx4 zdi,2012,600000,72000,diesel,individual,manual,first owner,21.5,1248.0
tata tigor 2017-2020 xz,2018,500000,35000,petrol,individual,manual,first owner,20.3,1199.0
maruti baleno delta 1.2,2016,575000,45000,petrol,individual,manual,first owner,21.4,1197.0
maruti alto 800 lxi,2017,275000,28000,petrol,individual,manual,first owner,24.7,796.0
chevrolet enjoy tcdi ltz 7 seater,2013,300000,70000,diesel,individual,manual,first owner,18.2,1248.0
maruti wagon r lxi minor,2009,220000,120000,petrol,individual,manual,first owner,18.9,1061.0
maruti omni e mpi std bs iv,2018,254999,25000,petrol,individual,manual,first owner,16.8,796.0
maruti vitara brezza ldi option,2017,670000,70000,diesel,individual,manual,first owner,24.3,1248.0
fiat palio 1.2 elx,2003,70000,50000,petrol,individual,manual,second owner,19.462816502829906,1430.789693178433
maruti omni 8 seater bsiv,2012,150000,35000,petrol,individual,manual,second owner,14.0,796.0
hyundai i20 1.2 asta dual tone,2018,730000,2388,petrol,individual,manual,first owner,18.6,1197.0
maruti vitara brezza ldi,2017,650000,16200,diesel,individual,manual,first owner,24.3,1248.0
maruti alto 800 cng lxi optional,2019,330000,10000,cng,individual,manual,second owner,33.44,796.0
maruti alto k10 vxi airbag,2019,366000,15000,petrol,individual,manual,first owner,23.95,998.0
hyundai verna vtvt 1.6 sx option,2019,1149000,5000,petrol,individual,manual,first owner,17.0,1591.0
datsun go d,2016,150000,42000,petrol,individual,manual,first owner,20.63,1198.0
tata safari dicor 2.2 lx 4x2,2011,425000,60000,diesel,individual,manual,second owner,13.93,2179.0
maruti 800 std,2012,150000,76000,petrol,individual,manual,first owner,16.1,796.0
jeep compass 1.4 limited plus bsiv,2019,2100000,5000,petrol,individual,automatic,first owner,16.0,1368.0
honda city i vtec vx,2018,925000,28900,petrol,dealer,manual,first owner,17.8,1497.0
honda city v mt,2013,425000,86300,petrol,dealer,manual,first owner,16.8,1497.0
maruti swift dzire vxi at,2018,675000,23300,petrol,dealer,automatic,first owner,18.5,1197.0
maruti vitara brezza vdi,2018,819999,32600,diesel,dealer,manual,first owner,24.3,1248.0
maruti alto k10 vxi,2018,390000,10300,petrol,dealer,manual,first owner,23.95,998.0
toyota fortuner 4x4 mt,2014,1500000,77000,diesel,dealer,manual,first owner,12.55,2982.0
toyota innova 2.5 g (diesel) 7 seater bs iv,2013,700000,99000,diesel,dealer,manual,first owner,12.99,2494.0
mercedes-benz b class b180,2014,1450000,27800,diesel,dealer,automatic,second owner,14.8,2143.0
honda amaze s diesel,2015,425000,49800,diesel,dealer,manual,first owner,24.7,1498.0
mitsubishi pajero sport 4x4,2013,1090000,151000,diesel,dealer,manual,first owner,13.5,2477.0
honda city i dtec s,2015,600000,54700,diesel,dealer,manual,first owner,26.0,1498.0
maruti ciaz zeta,2018,850000,64000,petrol,dealer,manual,first owner,20.65,1462.0
honda jazz vx diesel,2015,525000,63000,diesel,dealer,manual,first owner,27.3,1498.0
toyota innova crysta 2.8 zx at bsiv,2016,1650000,127700,diesel,dealer,automatic,second owner,11.36,2755.0
toyota innova 2.5 g (diesel) 7 seater,2016,950000,99000,diesel,dealer,manual,first owner,12.99,2494.0
audi a6 2.0 tdi technology,2013,1750000,33900,diesel,dealer,automatic,second owner,17.68,1968.0
toyota corolla altis 1.8 vl cvt,2018,1590000,25000,petrol,dealer,automatic,first owner,14.28,1798.0
audi a6 2.0 tdi  design edition,2013,1689999,50000,diesel,dealer,automatic,first owner,18.53,1968.0
