name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,car_age,km_per_year,price_per_km,brand,is_luxury,engine_category,mileage_category,is_first_owner,age_x_km,brand_avg_price
maruti swift dzire vdi,2014,450000,145500,diesel,individual,manual,first owner,23.4,1248.0,12,11192.307692307691,3.0927622490567077,maruti,0,medium,high,1,1746000,387911.1913123845
skoda rapid 1.5 tdi ambition,2014,370000,120000,diesel,individual,manual,second owner,21.14,1498.0,12,9230.76923076923,3.0833076391030074,skoda,0,medium,high,0,1440000,591442.8142857143
honda city 2017-2020 exi,2006,158000,140000,petrol,individual,manual,third owner,17.7,1497.0,20,6666.666666666667,1.1285633674045186,honda,0,medium,medium,0,2800000,573563.908839779
hyundai i20 sportz diesel,2010,225000,127000,diesel,individual,manual,first owner,23.0,1396.0,16,7470.588235294118,1.7716395933890283,hyundai,0,medium,high,1,2032000,450973.4849921011
maruti swift vxi bsiii,2007,130000,120000,petrol,individual,manual,first owner,16.1,1298.0,19,6000.0,1.0833243056307864,maruti,0,medium,medium,1,2280000,387911.1913123845
hyundai xcent 1.2 vtvt e plus,2017,440000,45000,petrol,individual,manual,first owner,20.14,1197.0,9,4500.0,9.777560498655586,hyundai,0,medium,high,1,405000,450973.4849921011
maruti wagon r lxi duo bsiii,2007,96000,175000,lpg,individual,manual,first owner,17.3,1061.0,19,8750.0,0.5485682938954635,maruti,0,medium,medium,1,3325000,387911.1913123845
maruti 800 dx bsii,2001,45000,5000,petrol,individual,manual,second owner,16.1,796.0,25,192.30769230769232,8.998200359928015,maruti,0,small,medium,0,125000,387911.1913123845
toyota etios vxd,2011,350000,90000,diesel,individual,manual,first owner,23.59,1364.0,15,5625.0,3.88884567949245,toyota,0,medium,high,1,1350000,889490.1344537815
ford figo diesel celebration edition,2013,200000,169000,diesel,individual,manual,first owner,20.0,1399.0,13,12071.42857142857,1.183424950148224,ford,0,medium,high,1,2197000,504376.6925207756
renault duster 110ps diesel rxl,2014,500000,68000,diesel,individual,manual,second owner,19.01,1461.0,12,5230.7692307692305,7.352833046572845,renault,0,medium,medium,0,816000,449694.1359223301
maruti zen lx,2005,92000,100000,petrol,individual,manual,second owner,17.3,993.0,21,4545.454545454545,0.9199908000919991,maruti,0,small,medium,0,2100000,387911.1913123845
maruti swift dzire vdi,2009,280000,140000,diesel,individual,manual,second owner,19.3,1248.0,17,7777.777777777777,1.9999857143877544,maruti,0,medium,medium,0,2380000,387911.1913123845
maruti swift 1.3 vxi,2007,200000,80000,petrol,individual,manual,second owner,19.462816502829902,1430.789693178433,19,4000.0,2.4999687503906203,maruti,0,medium,medium,0,1520000,387911.1913123845
maruti wagon r lxi minor,2009,180000,90000,petrol,individual,manual,second owner,18.9,1061.0,17,5000.0,1.9999777780246886,maruti,0,medium,medium,0,1530000,387911.1913123845
mahindra kuv 100 mfalcon g80 k8 5str,2016,400000,40000,petrol,individual,manual,first owner,18.15,1198.0,10,3636.3636363636365,9.999750006249844,mahindra,0,medium,medium,1,400000,616710.4889196676
maruti ertiga shvs vdi,2016,778000,70000,diesel,individual,manual,second owner,24.52,1248.0,10,6363.636363636364,11.114126941043699,maruti,0,medium,high,0,700000,387911.1913123845
hyundai i20 1.4 crdi asta,2012,500000,53000,diesel,individual,manual,second owner,23.0,1396.0,14,3533.3333333333335,9.433784268221354,hyundai,0,medium,high,0,742000,450973.4849921011
maruti alto lx,2002,150000,80000,petrol,individual,manual,second owner,19.7,796.0,24,3200.0,1.874976562792965,maruti,0,small,medium,0,1920000,387911.1913123845
hyundai i20 2015-2017 asta 1.4 crdi,2016,680000,100000,diesel,individual,manual,first owner,22.54,1396.0,10,9090.90909090909,6.799932000679993,hyundai,0,medium,high,1,1000000,450973.4849921011
mahindra verito 1.5 d4 bsiii,2011,174000,100000,diesel,individual,manual,second owner,21.0,1461.0,15,6250.0,1.7399826001739982,mahindra,0,medium,high,0,1500000,616710.4889196676
honda wr-v i-dtec vx,2017,950000,50000,diesel,individual,manual,first owner,25.5,1498.0,9,5000.0,18.999620007599848,honda,0,medium,very_high,1,450000,573563.908839779
maruti swift dzire zdi,2015,525000,40000,diesel,individual,manual,first owner,26.59,1248.0,11,3333.3333333333335,13.12467188320292,maruti,0,medium,very_high,1,440000,387911.1913123845
maruti sx4 zdi,2012,600000,72000,diesel,individual,manual,first owner,21.5,1248.0,14,4800.0,8.33321759420008,maruti,0,medium,high,1,1008000,387911.1913123845
tata tigor 2017-2020 xz,2018,500000,35000,petrol,individual,manual,first owner,20.3,1199.0,8,3888.8888888888887,14.285306134110455,tata,0,medium,high,1,280000,344393.97836166923
maruti baleno delta 1.2,2016,575000,45000,petrol,individual,manual,first owner,21.4,1197.0,10,4090.909090909091,12.777493833470368,maruti,0,medium,high,1,450000,387911.1913123845
maruti alto 800 lxi,2017,275000,28000,petrol,individual,manual,first owner,24.7,796.0,9,2800.0,9.821077818649334,maruti,0,small,high,1,252000,387911.1913123845
chevrolet enjoy tcdi ltz 7 seater,2013,300000,70000,diesel,individual,manual,first owner,18.2,1248.0,13,5000.0,4.2856530620991125,chevrolet,0,medium,medium,1,910000,268349.6296296296
maruti wagon r lxi minor,2009,220000,120000,petrol,individual,manual,first owner,18.9,1061.0,17,6666.666666666667,1.8333180556828692,maruti,0,medium,medium,1,2040000,387911.1913123845
maruti omni e mpi std bs iv,2018,254999,25000,petrol,individual,manual,first owner,16.8,796.0,8,2777.777777777778,10.199552017919283,maruti,0,small,medium,1,200000,387911.1913123845
maruti vitara brezza ldi option,2017,670000,70000,diesel,individual,manual,first owner,24.3,1248.0,9,7000.0,9.571291838688019,maruti,0,medium,high,1,630000,387911.1913123845
fiat palio 1.2 elx,2003,70000,50000,petrol,individual,manual,second owner,19.462816502829902,1430.789693178433,23,2083.3333333333335,1.3999720005599887,fiat,0,medium,medium,0,1150000,295340.86363636365
maruti omni 8 seater bsiv,2012,150000,35000,petrol,individual,manual,second owner,14.0,796.0,14,2333.3333333333335,4.2855918402331366,maruti,0,small,low,0,490000,387911.1913123845
hyundai i20 1.2 asta dual tone,2018,730000,2388,petrol,individual,manual,first owner,18.6,1197.0,8,265.3333333333333,305.56718292172457,hyundai,0,medium,medium,1,19104,450973.4849921011
maruti vitara brezza ldi,2017,650000,16200,diesel,individual,manual,first owner,24.3,1248.0,9,1620.0,40.12098018640825,maruti,0,medium,high,1,145800,387911.1913123845
maruti alto 800 cng lxi optional,2019,330000,10000,cng,individual,manual,second owner,33.44,796.0,7,1250.0,32.996700329967005,maruti,0,small,very_high,0,70000,387911.1913123845
maruti alto k10 vxi airbag,2019,366000,15000,petrol,individual,manual,first owner,23.95,998.0,7,1875.0,24.39837344177055,maruti,0,small,high,1,105000,387911.1913123845
hyundai verna vtvt 1.6 sx option,2019,1149000,5000,petrol,individual,manual,first owner,17.0,1591.0,7,625.0,229.75404919016196,hyundai,0,large,medium,1,35000,450973.4849921011
datsun go d,2016,150000,42000,petrol,individual,manual,first owner,20.63,1198.0,10,3818.181818181818,3.571343539439537,datsun,0,medium,high,1,420000,316017.49122807017
tata safari dicor 2.2 lx 4x2,2011,425000,60000,diesel,individual,manual,second owner,13.93,2179.0,15,3750.0,7.083215279745337,tata,0,premium,low,0,900000,344393.97836166923
maruti 800 std,2012,150000,76000,petrol,individual,manual,first owner,16.1,796.0,14,5066.666666666667,1.9736582413389296,maruti,0,small,medium,1,1064000,387911.1913123845
jeep compass 1.4 limited plus bsiv,2019,2100000,5000,petrol,individual,automatic,first owner,16.0,1368.0,7,625.0,419.9160167966407,jeep,1,medium,medium,1,35000,1789227.2272727273
honda city i vtec vx,2018,925000,28900,petrol,dealer,manual,first owner,17.8,1497.0,8,3211.1111111111113,32.00581294764887,honda,0,medium,medium,1,231200,573563.908839779
honda city v mt,2013,425000,86300,petrol,dealer,manual,first owner,16.8,1497.0,13,6164.285714285715,4.924624280135804,honda,0,medium,medium,1,1121900,573563.908839779
maruti swift dzire vxi at,2018,675000,23300,petrol,dealer,automatic,first owner,18.5,1197.0,8,2588.8888888888887,28.968713789107763,maruti,0,medium,medium,1,186400,387911.1913123845
