Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
FERRARI,SF90 STRADALE,V8,3990.0,963.0,340.0,2.5,1100000.0,plug-in hybrid,2.0,800.0
ROLLS ROYCE,PHANTOM,V12,6749.0,563.0,250.0,5.3,460000.0,petrol,5.0,900.0
MERCEDES, GT 63 S,V8,3982.0,630.0,250.0,3.2,161000.0,petrol,4.0,900.0
AUDI,AUDI R8 Gt,V10,5204.0,602.0,320.0,3.6,253290.0,petrol,2.0,560.0
BMW,Mclaren 720s,V8,3994.0,710.0,341.0,2.9,499000.0,petrol,2.0,770.0
ASTON MARTIN,VANTAGE F1,V8,3982.0,656.0,314.0,3.6,193440.0,petrol,2.0,685.0
BENTLEY,Continental GT Azure,V8,3996.0,550.0,318.0,4.0,311000.0,petrol,4.0,900.0
LAMBORGHINI,VENENO ROADSTER,V12,6498.0,750.0,356.0,2.9,4500000.0,petrol,2.0,690.0
FERRARI,F8 TRIBUTO,V8,3900.0,710.0,340.0,2.9,280000.0,petrol,2.0,770.0
FERRARI,812 GTS,V12,6496.0,789.0,340.0,2.9,350000.0,petrol,2.0,718.0
FERRARI,PORTOFINO,V8,3900.0,592.0,320.0,3.2,210000.0,petrol,4.0,760.0
FERRARI,ROMA,V8,3900.0,612.0,320.0,3.4,230000.0,petrol,4.0,760.0
FERRARI,MONZA SP2,V12,6496.0,789.0,340.0,2.9,1700000.0,petrol,2.0,719.0
FERRARI,F8 SPIDER,V8,3900.0,710.0,340.0,2.9,280000.0,petrol,2.0,770.0
FERRARI,PORTOFINO M,V8,3900.0,612.0,320.0,3.2,220000.0,petrol,4.0,760.0
FERRARI,ROMA SPIDER,V8,3900.0,612.0,320.0,3.4,240000.0,petrol,4.0,760.0
TOYOTA,GR SUPRA,I4,2998.0,382.0,250.0,4.1,53900.0,petrol,2.0,500.0
TOYOTA,TOYOTA 86,BOXER-4,1998.0,205.0,226.0,6.4,27000.0,petrol,4.0,205.0
TOYOTA,TOYOTA  GR86,BOXER-4,2387.0,228.0,226.0,5.6,30000.0,petrol,4.0,250.0
TOYOTA,TOYOTA LAND CRUISER,V8,5663.0,381.0,220.0,6.7,85000.0,diesel,7.0,500.0
TOYOTA,TOYOTA SEQUOIA,V8,5663.0,381.0,200.0,6.9,50000.0,petrol,7.0,651.0
NISSAN,GT-R,V6,3799.0,600.0,315.0,2.9,113000.0,petrol,4.0,637.0
NISSAN,370Z,V6,3696.0,332.0,250.0,4.7,30000.0,petrol,2.0,366.0
NISSAN,Z PROTO,V6,2998.0,400.0,290.0,4.1,40000.0,petrol,2.0,475.0
NISSAN,ALTIMA,I4,2488.0,188.0,225.0,7.3,25000.0,petrol,5.0,380.0
NISSAN,MAXIMA,V6,3498.0,300.0,240.0,5.8,35000.0,petrol,5.0,354.0
NISSAN,SENTRA,I4,1998.0,149.0,200.0,8.2,20000.0,petrol,5.0,240.0
NISSAN,ROGUE,I4,2488.0,201.0,200.0,7.5,28000.0,petrol,5.0,270.0
NISSAN,PATHFINDER,V6,3498.0,284.0,225.0,6.5,35000.0,petrol,7.0,351.0
NISSAN,FRONTIER,V6,3799.0,310.0,180.0,6.8,30000.0,petrol,5.0,381.0
NISSAN,TITAN,V8,5598.0,400.0,200.0,5.9,40000.0,petrol,5.0,560.0
ASTON MARTIN,VALKYRIE,V12,6496.0,1160.0,402.0,2.5,3200000.0,hybrid,2.0,900.0
ASTON MARTIN,VALHALLA,V8,3996.0,1000.0,362.0,2.5,1100000.0,hybrid,2.0,1000.0
ASTON MARTIN,DBS SUPERLEGGERA,V12,5204.0,715.0,340.0,3.4,316000.0,petrol,2.0,900.0
ASTON MARTIN,DB11,V12,5204.0,600.0,322.0,3.9,208000.0,petrol,4.0,700.0
ASTON MARTIN,VANTAGE ,V8,3996.0,503.0,313.0,3.6,142000.0,petrol,2.0,685.0
ASTON MARTIN,DBX,V8,3996.0,542.0,291.0,4.5,189000.0,petrol,5.0,700.0
ASTON MARTIN,RAPIDE AMR,V12,5935.0,580.0,328.0,4.2,240000.0,petrol,4.0,630.0
ASTON MARTIN,VANQUISH,V12,5935.0,580.0,324.0,3.6,294000.0,petrol,2.0,630.0
ASTON MARTIN,LAGONDA TARAF,V12,5935.0,540.0,314.0,4.2,1100000.0,petrol,4.0,630.0
ASTON MARTIN,VICTOR,V12,5204.0,836.0,320.0,2.8,1300000.0,petrol,2.0,821.0
LAMBORGHINI,SIAN,V12,6498.0,819.0,350.0,2.8,2800000.0,hybrid,2.0,720.0
LAMBORGHINI,AVENTADOR SVJ,V12,6498.0,759.0,350.0,2.8,518000.0,petrol,2.0,720.0
LAMBORGHINI,HURACAN PERFORMANTE,V10,5204.0,640.0,325.0,2.9,274000.0,petrol,2.0,600.0
LAMBORGHINI,HURACAN EVO,V10,5204.0,640.0,325.0,2.9,261000.0,petrol,2.0,600.0
LAMBORGHINI,AVENTADOR SV,V12,6498.0,740.0,350.0,2.8,493000.0,petrol,2.0,690.0
LAMBORGHINI,URUS ,V8,3996.0,641.0,305.0,3.6,211000.0,petrol,5.0,850.0
LAMBORGHINI,HURACAN SPYDER,V10,5204.0,610.0,325.0,3.4,287000.0,petrol,2.0,600.0
LAMBORGHINI,AVENTADOR ROADSTER,V12,6498.0,700.0,350.0,3.0,445000.0,petrol,2.0,690.0
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,5204.0,640.0,325.0,3.1,308000.0,petrol,2.0,600.0
LAMBORGHINI,AVENTADOR S,V12,6498.0,740.0,350.0,2.9,421000.0,petrol,2.0,690.0
LAMBORGHINI,HURACAN EVO SPYDER,V10,5204.0,640.0,325.0,3.1,287000.0,petrol,2.0,600.0
LAMBORGHINI,URUS PERFORMANTE,V8,3996.0,641.0,305.0,3.3,242000.0,petrol,5.0,850.0
LAMBORGHINI,AVENTADOR ULTIMAE,V12,6498.0,769.0,355.0,2.8,545000.0,petrol,2.0,720.0
LAMBORGHINI,HURACAN EVO RWD,V10,5204.0,610.0,325.0,3.3,258000.0,petrol,2.0,560.0
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,6498.0,759.0,350.0,2.9,573000.0,petrol,2.0,720.0
LAMBORGHINI,URUS S,V8,3996.0,671.0,305.0,3.3,263000.0,petrol,5.0,850.0
LAMBORGHINI,HURACAN STO,V10,5204.0,640.0,325.0,3.0,327000.0,petrol,2.0,565.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,6498.0,769.0,355.0,2.8,545000.0,petrol,2.0,720.0
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,5204.0,610.0,325.0,3.3,273000.0,petrol,2.0,600.0
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,6498.0,759.0,350.0,2.9,603000.0,petrol,2.0,720.0
