id,price,brand,model,year,title_status,mileage,color,state,country,condition,car_age,price_per_mile,mileage_category,age_group,brand_name,brand_tier,is_salvage
0,6300,toyota,cruiser,2008,clean vehicle,274117.0,black,new jersey,usa,10 days left,18,0.022982803026433872,Very High,Classic,Toyota,Mid,0
1,2899,ford,se,2011,clean vehicle,190552.0,silver,tennessee,usa,6 days left,15,0.01521361510970701,Very High,Old,Ford,Mid,0
2,5350,dodge,mpv,2018,clean vehicle,39590.0,silver,georgia,usa,2 days left,8,0.13513172185597735,Medium,Old,Dodge,Mid,0
3,25000,ford,door,2014,clean vehicle,64146.0,blue,virginia,usa,22 hours left,12,0.38972983927541427,Medium,Old,Ford,Mid,0
4,27700,chevrolet,1500,2018,clean vehicle,6654.0,red,florida,usa,22 hours left,8,4.1622839969947405,Low,Old,Chevrolet,Mid,0
5,5700,dodge,mpv,2018,clean vehicle,45561.0,white,texas,usa,2 days left,8,0.12510425354462051,Medium,Old,Dodge,Mid,0
6,7300,chevrolet,pk,2010,clean vehicle,149050.0,black,georgia,usa,22 hours left,16,0.04897652481365439,High,Classic,Chevrolet,Mid,0
7,13350,gmc,door,2017,clean vehicle,23525.0,gray,california,usa,20 hours left,9,0.5674572813057893,Low,Old,Gmc,Mid,0
8,14600,chevrolet,malibu,2018,clean vehicle,9371.0,silver,florida,usa,22 hours left,8,1.5578318395219803,Low,Old,Chevrolet,Mid,0
9,5250,ford,mpv,2017,clean vehicle,63418.0,black,texas,usa,2 days left,9,0.08278276226367492,Medium,Old,Ford,Mid,0
10,10400,dodge,coupe,2009,clean vehicle,107856.0,orange,georgia,usa,22 hours left,17,0.09642396877346858,High,Classic,Dodge,Mid,0
11,12920,gmc,mpv,2017,clean vehicle,39650.0,white,california,usa,20 hours left,9,0.3258429800005044,Medium,Old,Gmc,Mid,0
12,31900,chevrolet,1500,2018,clean vehicle,22909.0,black,tennessee,usa,22 hours left,8,1.3924050632911393,Low,Old,Chevrolet,Mid,0
13,5430,chrysler,wagon,2017,clean vehicle,138650.0,gray,texas,usa,2 days left,9,0.039163078520890585,High,Old,Chrysler,Mid,0
14,20700,ford,door,2013,clean vehicle,100757.0,black,virginia,usa,22 hours left,13,0.20544274400047638,High,Old,Ford,Mid,0
15,12710,gmc,door,2017,clean vehicle,25747.0,white,california,usa,20 hours left,9,0.49363057324840764,Low,Old,Gmc,Mid,0
16,5200,kia,forte,2018,clean vehicle,46194.0,blue,north carolina,usa,2 days left,8,0.11256629505357722,Medium,Old,Kia,Mid,0
17,16500,buick,encore,2018,clean vehicle,20002.0,red,tennessee,usa,22 hours left,8,0.8248762685597161,Low,Old,Buick,Mid,0
18,5210,ford,mpv,2017,clean vehicle,35714.0,white,texas,usa,2 days left,9,0.14587708245835082,Medium,Old,Ford,Mid,0
